#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.330640E-12
#47368_015_2-S_MAIN0_Interstrip_091923
#Date/Time: 9/19/2023 3:30:39 PM
#Sensor Name: 47368_015_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
15	3777996720.221273	2.803815	23.500000	25.787052	-1.850900E-7	5.999978E-12	-8.214787E-11	-9.982648E-11	-1.135170E-10
30	3777996744.843930	2.945051	23.500000	25.839052	-1.850500E-7	5.994733E-12	-8.250178E-11	-9.947095E-11	-1.141408E-10
45	3777996769.817190	3.286853	23.500000	25.833286	-1.850000E-7	5.994638E-12	-8.463248E-11	-1.006101E-10	-1.172240E-10
60	3777996794.760352	3.206768	23.500000	25.806216	-1.850200E-7	5.995893E-12	-8.008136E-11	-9.732674E-11	-1.137778E-10
75	3777996819.732385	3.239403	23.500000	25.839429	-1.850600E-7	5.996350E-12	-7.760817E-11	-9.425681E-11	-1.112479E-10
90	3777996844.572083	3.421238	23.500000	25.832769	-1.848400E-7	5.997857E-12	-8.039027E-11	-9.841192E-11	-1.149526E-10
105	3777996869.372680	3.145604	23.500000	25.812239	-1.849800E-7	5.999560E-12	-7.970760E-11	-9.722530E-11	-1.139443E-10
120	3777996894.193571	2.948510	23.500000	25.831738	-1.848800E-7	5.999127E-12	-8.362044E-11	-1.004224E-10	-1.176435E-10
135	3777996919.023824	3.275939	23.500000	25.870143	-1.848600E-7	6.000563E-12	-7.586636E-11	-9.588254E-11	-1.123750E-10
150	3777996943.971219	3.017070	23.500000	25.876821	-1.849700E-7	6.001805E-12	-7.998095E-11	-9.781716E-11	-1.158126E-10
165	3777996968.785695	2.999273	23.500000	25.875732	-1.848600E-7	6.003200E-12	-8.042662E-11	-9.957990E-11	-1.153648E-10
180	3777996993.587238	2.864932	23.500000	25.880626	-1.847000E-7	6.003420E-12	-7.661195E-11	-9.128545E-11	-1.111475E-10
