#Open Capacitance 1000Hz:4.557637E-12
#Open Capacitance 1000000Hz:Not Measured
#47368_015_2-S_MAIN0_Single_091923
#Date/Time: 9/19/2023 4:42:37 PM
#Sensor Name: 47368_015_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
4	3778001037.825206	1.813171	23.500000	26.589506	-1.852400E-7	-7.981794E-11	1.493135E-10	-8.094192E-11	-8.041362E-11	-8.165825E-11	-8.306848E-11	-8.152057E-11	-8.130009E-11	-6.594392E-7	-3.295572E-6
8	3778001054.742938	1.984041	23.500000	26.698161	-1.848700E-7	-9.048192E-11	1.493285E-10	-8.501439E-11	-8.507346E-11	-8.562732E-11	-8.378120E-11	-8.487409E-11	-8.504393E-11	-6.582981E-7	-3.289780E-6
12	3778001071.894793	2.237887	23.500000	26.729610	-1.850000E-7	-6.773938E-12	1.492898E-10	-8.186558E-11	-7.869403E-11	-7.781963E-11	-7.762645E-11	-7.900142E-11	-7.825683E-11	-6.590491E-7	-3.294259E-6
16	3778001089.364061	2.558343	23.500000	26.705751	-1.850200E-7	-4.126785E-11	1.493070E-10	-8.743114E-11	-8.845498E-11	-8.942753E-11	-8.630119E-11	-8.790371E-11	-8.794306E-11	-6.602213E-7	-3.300008E-6
20	3778001106.674035	2.507192	23.500000	26.688766	-1.849900E-7	-1.563456E-11	1.493367E-10	-9.170772E-11	-9.081447E-11	-9.123706E-11	-8.947295E-11	-9.080805E-11	-9.102576E-11	-6.605694E-7	-3.301261E-6
24	3778001123.792810	2.351216	23.500000	26.736943	-1.848600E-7	-6.935438E-11	1.492895E-10	-8.104369E-11	-7.965881E-11	-8.055345E-11	-8.183491E-11	-8.077271E-11	-8.079857E-11	-6.617803E-7	-3.307267E-6
28	3778001140.923266	2.562070	23.500000	26.721584	-1.848300E-7	-8.327251E-11	1.492947E-10	-8.677692E-11	-8.620014E-11	-8.589207E-11	-8.477866E-11	-8.591195E-11	-8.604610E-11	-6.619316E-7	-3.308106E-6
32	3778001158.032761	2.694571	23.500000	26.711319	-1.850500E-7	-9.677406E-12	1.492338E-10	-8.401178E-11	-8.091756E-11	-7.747228E-11	-8.145545E-11	-8.096427E-11	-8.118650E-11	-6.586899E-7	-3.292439E-6
36	3778001175.191773	2.616062	23.500000	26.660886	-1.847600E-7	-1.633547E-11	1.492627E-10	-8.432604E-11	-8.210228E-11	-8.295059E-11	-8.351320E-11	-8.322303E-11	-8.323189E-11	-6.561061E-7	-3.279567E-6
40	3778001192.322042	2.737828	23.500000	26.728797	-1.848200E-7	-4.787644E-11	1.492757E-10	-8.467951E-11	-8.252429E-11	-8.705737E-11	-8.644835E-11	-8.517738E-11	-8.556393E-11	-6.548667E-7	-3.272939E-6
