#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.331093E-12
#47368_021_2-S_MAIN0_Interstrip_092023
#Date/Time: 9/20/2023 10:22:48 AM
#Sensor Name: 47368_021_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
15	3778064648.129311	3.359318	23.500000	26.151122	-1.961800E-7	5.996925E-12	-8.855559E-11	-1.032700E-10	-1.197318E-10
30	3778064673.036635	3.501675	23.500000	26.169374	-1.961300E-7	5.990477E-12	-8.537220E-11	-1.005822E-10	-1.189745E-10
45	3778064697.866945	3.520917	23.500000	26.204112	-1.961500E-7	5.988870E-12	-9.049187E-11	-1.066887E-10	-1.238480E-10
60	3778064722.833512	3.423697	23.500000	26.236156	-1.960000E-7	5.989968E-12	-8.584554E-11	-1.019364E-10	-1.173061E-10
75	3778064747.811814	3.292359	23.500000	26.227060	-1.961400E-7	5.990705E-12	-8.228741E-11	-1.002819E-10	-1.128723E-10
90	3778064772.791805	3.318858	23.500000	26.232649	-1.961300E-7	5.991455E-12	-8.661713E-11	-1.003328E-10	-1.188570E-10
105	3778064797.775336	3.387669	23.500000	26.251891	-1.961100E-7	5.991523E-12	-8.271595E-11	-9.973789E-11	-1.182044E-10
120	3778064822.610125	3.475930	23.500000	26.257400	-1.959100E-7	5.993017E-12	-8.068848E-11	-9.700082E-11	-1.137930E-10
135	3778064847.436483	3.384098	23.500000	26.273114	-1.960600E-7	5.993212E-12	-8.168310E-11	-9.678802E-11	-1.158614E-10
150	3778064872.193647	3.258788	23.500000	26.290413	-1.960800E-7	5.994757E-12	-8.228746E-11	-9.960278E-11	-1.164334E-10
165	3778064897.017910	3.044368	23.500000	26.263205	-1.960000E-7	5.996425E-12	-8.045484E-11	-9.744877E-11	-1.148504E-10
180	3778064921.836287	2.890537	23.500000	26.278483	-1.960000E-7	5.995777E-12	-8.225599E-11	-9.995137E-11	-1.166990E-10
195	3778064946.647266	2.900413	23.500000	26.307436	-1.960100E-7	5.996887E-12	-8.746807E-11	-1.053154E-10	-1.206540E-10
210	3778064971.587871	2.687187	23.500000	26.282369	-1.960200E-7	5.995573E-12	-7.975830E-11	-9.622010E-11	-1.140233E-10
225	3778064996.563744	2.637250	23.500000	26.305356	-1.958700E-7	5.997490E-12	-8.021563E-11	-9.769474E-11	-1.167725E-10
240	3778065021.369637	2.555245	23.500000	26.315047	-1.958900E-7	5.996542E-12	-8.712726E-11	-1.046080E-10	-1.222174E-10
