#Open Capacitance 1000Hz:4.560857E-12
#Open Capacitance 1000000Hz:Not Measured
#47368_021_2-S_MAIN0_Single_092023
#Date/Time: 9/20/2023 11:26:59 AM
#Sensor Name: 47368_021_2-S_MAIN0
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Yarelis Acevedo

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
4	3778068499.979844	1.763986	23.500000	26.688629	-1.960800E-7	-9.964392E-11	1.488080E-10	-8.604119E-11	-8.531868E-11	-8.589686E-11	-8.611931E-11	-8.584401E-11	-8.596903E-11	-6.499176E-7	-3.248366E-6
8	3778068516.926096	2.007317	23.500000	26.816506	-1.960900E-7	-9.153341E-11	1.488297E-10	-9.074586E-11	-8.641043E-11	-8.643211E-11	-8.895269E-11	-8.813527E-11	-8.769240E-11	-6.496172E-7	-3.246639E-6
12	3778068534.057971	2.346484	23.500000	26.860242	-1.962600E-7	-6.773918E-12	1.487850E-10	-9.044858E-11	-8.902052E-11	-8.752973E-11	-8.787219E-11	-8.871776E-11	-8.844635E-11	-6.512799E-7	-3.255104E-6
16	3778068551.476295	2.700146	23.500000	26.884338	-1.962100E-7	-1.152960E-11	1.487940E-10	-8.647627E-11	-8.684894E-11	-8.732448E-11	-8.820688E-11	-8.721414E-11	-8.708671E-11	-6.525813E-7	-3.261794E-6
20	3778068568.595051	2.718733	23.500000	26.867494	-1.959800E-7	-3.250653E-11	1.488245E-10	-9.112884E-11	-8.737135E-11	-8.637000E-11	-8.826577E-11	-8.828399E-11	-8.781856E-11	-6.529739E-7	-3.264000E-6
24	3778068585.741286	2.633930	23.500000	26.872865	-1.961200E-7	-4.472242E-11	1.487770E-10	-8.843894E-11	-9.131362E-11	-8.900586E-11	-8.707407E-11	-8.895812E-11	-8.872240E-11	-6.547834E-7	-3.273060E-6
28	3778068602.911285	2.660732	23.500000	26.836223	-1.957900E-7	-3.495973E-11	1.487970E-10	-8.836901E-11	-8.631580E-11	-8.524408E-11	-8.556077E-11	-8.637241E-11	-8.593829E-11	-6.551684E-7	-3.274524E-6
32	3778068620.362154	2.765917	23.500000	26.893452	-1.959800E-7	-7.574870E-12	1.487543E-10	-8.353164E-11	-8.488284E-11	-8.392131E-11	-8.420509E-11	-8.413522E-11	-8.406320E-11	-6.524576E-7	-3.261170E-6
36	3778068637.524410	2.691363	23.500000	26.931481	-1.960300E-7	-8.527521E-11	1.488005E-10	-8.737765E-11	-8.740056E-11	-8.706340E-11	-8.777856E-11	-8.740504E-11	-8.738911E-11	-6.503109E-7	-3.250778E-6
40	3778068654.801478	2.894950	23.500000	26.898408	-1.958400E-7	-4.862752E-11	1.488335E-10	-8.317305E-11	-8.308985E-11	-8.329776E-11	-8.403254E-11	-8.339830E-11	-8.323540E-11	-6.497947E-7	-3.247816E-6
